X[Hz],R[Vpk],I[Vpk],Mag[Vpk],P[deg]
2.13E+03,-4.44E-07,8.12E-07,9.26E-07,1.19E+02
2.14E+03,-5.50E-07,-1.34E-06,1.45E-06,-1.12E+02
2.14E+03,1.31E-06,-1.18E-06,1.76E-06,-4.20E+01
2.15E+03,5.41E-07,7.92E-07,9.59E-07,5.57E+01
2.16E+03,-9.20E-07,5.98E-07,1.10E-06,1.47E+02
2.17E+03,-1.59E-08,2.41E-09,1.61E-08,1.71E+02
2.18E+03,1.06E-07,1.05E-06,1.06E-06,8.42E+01
2.18E+03,-1.21E-06,7.86E-07,1.44E-06,1.47E+02
2.19E+03,-5.43E-07,-3.74E-07,6.59E-07,-1.45E+02
2.20E+03,5.70E-07,3.60E-07,6.75E-07,3.23E+01
2.21E+03,-5.89E-09,1.20E-06,1.20E-06,9.03E+01
2.22E+03,-5.29E-07,6.05E-07,8.03E-07,1.31E+02
2.22E+03,-1.44E-07,-1.67E-07,2.21E-07,-1.31E+02
2.23E+03,2.12E-07,-3.64E-07,4.21E-07,-5.98E+01
2.24E+03,-4.70E-08,3.41E-07,3.44E-07,9.78E+01
2.25E+03,-1.26E-06,1.75E-06,2.15E-06,1.26E+02
2.26E+03,-2.12E-06,1.85E-06,2.82E-06,1.39E+02
2.26E+03,-7.95E-07,9.85E-07,1.27E-06,1.29E+02
2.27E+03,2.81E-07,1.54E-06,1.57E-06,7.97E+01
2.28E+03,-7.73E-07,1.55E-06,1.73E-06,1.16E+02
2.29E+03,-5.86E-07,-5.30E-07,7.90E-07,-1.38E+02
2.30E+03,1.29E-06,-9.58E-07,1.61E-06,-3.66E+01
2.30E+03,8.87E-07,5.79E-07,1.06E-06,3.31E+01
2.31E+03,-9.15E-07,2.74E-07,9.55E-07,1.63E+02
2.32E+03,-6.49E-07,-6.62E-07,9.27E-07,-1.34E+02
2.33E+03,-3.14E-08,1.83E-07,1.85E-07,9.98E+01
2.34E+03,-5.72E-07,1.64E-07,5.95E-07,1.64E+02
2.34E+03,3.59E-07,-8.18E-07,8.94E-07,-6.63E+01
2.35E+03,1.21E-06,6.41E-07,1.37E-06,2.79E+01
2.36E+03,-1.09E-06,1.47E-06,1.83E-06,1.27E+02
2.37E+03,-1.96E-06,-1.05E-06,2.22E-06,-1.52E+02
2.38E+03,5.55E-07,-1.65E-06,1.74E-06,-7.14E+01
2.38E+03,9.46E-07,4.67E-07,1.06E-06,2.63E+01
2.39E+03,-4.81E-07,1.63E-07,5.08E-07,1.61E+02
2.40E+03,6.42E-07,-9.03E-07,1.11E-06,-5.46E+01
2.41E+03,9.62E-07,7.36E-07,1.21E-06,3.74E+01
2.42E+03,-1.71E-06,4.18E-07,1.76E-06,1.66E+02
2.42E+03,-7.16E-07,-2.26E-06,2.37E-06,-1.08E+02
2.43E+03,2.72E-06,1.43E-07,2.73E-06,3.01E+00
2.44E+03,2.88E-08,3.83E-06,3.83E-06,8.96E+01
2.45E+03,-3.57E-06,2.94E-07,3.59E-06,1.75E+02
2.46E+03,2.81E-07,-3.31E-06,3.32E-06,-8.52E+01
2.46E+03,3.67E-06,3.39E-07,3.69E-06,5.27E+00
2.47E+03,-1.76E-08,2.67E-06,2.67E-06,9.04E+01
2.48E+03,-2.13E-06,-6.46E-07,2.23E-06,-1.63E+02
2.49E+03,4.97E-07,-1.26E-06,1.36E-06,-6.85E+01
2.50E+03,4.44E-07,7.92E-07,9.08E-07,6.07E+01
2.50E+03,-4.81E-07,-6.96E-07,8.46E-07,-1.25E+02
2.51E+03,1.65E-06,-9.05E-07,1.88E-06,-2.87E+01
2.52E+03,3.73E-07,2.39E-06,2.41E-06,8.11E+01
2.53E+03,-4.05E-06,1.37E-06,4.28E-06,1.61E+02
2.54E+03,-2.92E-06,-3.17E-06,4.32E-06,-1.33E+02
2.54E+03,1.87E-06,-2.38E-06,3.02E-06,-5.18E+01
2.55E+03,1.12E-06,2.28E-06,2.54E-06,6.38E+01
2.56E+03,-2.64E-06,2.44E-06,3.60E-06,1.37E+02
2.57E+03,-2.39E-06,1.27E-07,2.40E-06,1.77E+02
2.58E+03,-1.11E-06,-3.08E-07,1.15E-06,-1.64E+02
2.58E+03,-8.89E-07,-7.50E-07,1.16E-06,-1.40E+02
2.59E+03,2.37E-07,-7.05E-07,7.44E-07,-7.14E+01
2.60E+03,4.68E-08,8.46E-07,8.47E-07,8.68E+01
2.61E+03,-1.95E-06,2.69E-07,1.97E-06,1.72E+02
2.62E+03,-1.09E-06,-2.15E-06,2.41E-06,-1.17E+02
2.62E+03,1.51E-06,-1.31E-06,2.00E-06,-4.09E+01
2.63E+03,4.43E-07,1.25E-06,1.33E-06,7.05E+01
2.64E+03,-2.93E-06,3.63E-07,2.95E-06,1.73E+02
2.65E+03,-3.06E-06,-2.57E-06,4.00E-06,-1.40E+02
2.66E+03,-6.99E-07,-2.03E-06,2.14E-06,-1.09E+02
2.66E+03,-1.15E-06,6.08E-07,1.30E-06,1.52E+02
2.67E+03,-2.45E-06,5.72E-07,2.52E-06,1.67E+02
2.68E+03,-1.63E-06,-7.06E-09,1.63E-06,-1.80E+02
2.69E+03,-1.71E-06,-6.03E-08,1.71E-06,-1.78E+02
2.70E+03,-1.92E-06,-1.43E-06,2.39E-06,-1.43E+02
2.70E+03,-5.67E-07,-1.71E-06,1.80E-06,-1.08E+02
2.71E+03,2.27E-07,-4.80E-07,5.31E-07,-6.47E+01
2.72E+03,2.46E-07,5.76E-07,6.26E-07,6.69E+01
2.73E+03,-6.73E-07,9.24E-07,1.14E-06,1.26E+02
2.74E+03,-1.25E-06,-3.87E-07,1.31E-06,-1.63E+02
2.74E+03,2.51E-08,-8.19E-07,8.19E-07,-8.82E+01
2.75E+03,2.07E-08,-3.00E-07,3.01E-07,-8.61E+01
2.76E+03,2.48E-07,-2.37E-06,2.38E-06,-8.40E+01
2.77E+03,2.63E-06,-1.52E-06,3.04E-06,-3.01E+01
2.78E+03,-1.15E-06,6.23E-06,6.33E-06,1.00E+02
2.78E+03,-1.68E-05,5.82E-06,1.78E-05,1.61E+02
2.79E+03,-1.84E-05,-2.01E-05,2.72E-05,-1.32E+02
2.80E+03,1.88E-05,-3.05E-05,3.59E-05,-5.84E+01
2.81E+03,3.66E-05,5.97E-06,3.71E-05,9.26E+00
2.82E+03,6.55E-06,2.66E-05,2.74E-05,7.62E+01
2.82E+03,-1.30E-05,1.05E-05,1.67E-05,1.41E+02
2.83E+03,-6.06E-06,-1.99E-06,6.38E-06,-1.62E+02
2.84E+03,6.61E-07,1.61E-06,1.74E-06,6.76E+01
2.85E+03,-5.27E-06,3.10E-06,6.11E-06,1.50E+02
2.86E+03,-5.44E-06,-7.04E-06,8.90E-06,-1.28E+02
2.86E+03,5.89E-06,-6.56E-06,8.82E-06,-4.81E+01
2.87E+03,5.06E-06,6.15E-06,7.96E-06,5.06E+01
2.88E+03,-7.21E-06,5.51E-06,9.08E-06,1.43E+02
2.89E+03,-6.96E-06,-6.04E-06,9.22E-06,-1.39E+02
2.90E+03,2.43E-06,-5.19E-06,5.73E-06,-6.49E+01
2.90E+03,1.93E-06,3.09E-06,3.65E-06,5.80E+01
2.91E+03,-2.91E-06,2.75E-06,4.00E-06,1.37E+02
2.92E+03,-1.03E-06,-6.36E-07,1.21E-06,-1.48E+02
2.93E+03,1.27E-06,7.34E-07,1.47E-06,2.99E+01
2.94E+03,-6.04E-07,7.46E-07,9.60E-07,1.29E+02
2.94E+03,-5.88E-08,-1.85E-06,1.85E-06,-9.18E+01
2.95E+03,2.26E-06,-3.51E-07,2.28E-06,-8.84E+00
2.96E+03,3.20E-07,2.37E-06,2.39E-06,8.23E+01
2.97E+03,-2.29E-06,2.07E-07,2.30E-06,1.75E+02
2.98E+03,-5.11E-07,-2.61E-06,2.66E-06,-1.01E+02
2.98E+03,1.89E-06,-1.30E-06,2.29E-06,-3.45E+01
2.99E+03,1.22E-06,8.85E-07,1.51E-06,3.59E+01
3.00E+03,-3.61E-07,9.02E-07,9.72E-07,1.12E+02
3.01E+03,-8.81E-07,-1.32E-07,8.91E-07,-1.71E+02
3.02E+03,-4.53E-07,-1.26E-06,1.33E-06,-1.10E+02
3.02E+03,9.44E-07,-1.37E-06,1.66E-06,-5.55E+01
3.03E+03,1.37E-06,7.32E-07,1.56E-06,2.80E+01
3.04E+03,-9.49E-07,1.94E-06,2.16E-06,1.16E+02
3.05E+03,-2.23E-06,-1.79E-07,2.23E-06,-1.75E+02
3.06E+03,9.50E-08,-1.51E-06,1.52E-06,-8.64E+01
3.06E+03,1.56E-06,4.76E-07,1.63E-06,1.70E+01
3.07E+03,-7.58E-07,1.35E-06,1.55E-06,1.19E+02
3.08E+03,-2.35E-06,-1.13E-06,2.61E-06,-1.54E+02
3.09E+03,-4.87E-07,-2.24E-06,2.29E-06,-1.02E+02
3.10E+03,8.76E-07,-4.37E-07,9.79E-07,-2.65E+01
3.10E+03,-1.40E-08,6.71E-07,6.71E-07,9.12E+01
3.11E+03,-4.42E-07,4.65E-07,6.42E-07,1.34E+02
3.12E+03,-2.00E-07,5.09E-07,5.46E-07,1.11E+02
3.13E+03,-4.54E-07,7.63E-08,4.60E-07,1.70E+02
3.14E+03,-1.79E-07,-7.76E-07,7.97E-07,-1.03E+02
3.14E+03,4.71E-07,-4.02E-07,6.19E-07,-4.05E+01
3.15E+03,-2.87E-07,3.95E-07,4.88E-07,1.26E+02
3.16E+03,-1.33E-06,-3.24E-07,1.37E-06,-1.66E+02
3.17E+03,-4.37E-07,-1.07E-06,1.16E-06,-1.12E+02
3.18E+03,4.62E-07,-1.06E-07,4.74E-07,-1.29E+01
3.18E+03,-3.86E-07,5.99E-07,7.13E-07,1.23E+02
3.19E+03,-1.06E-06,-1.11E-07,1.07E-06,-1.74E+02
3.20E+03,-6.23E-07,-4.17E-07,7.50E-07,-1.46E+02
3.21E+03,-5.77E-07,1.43E-07,5.95E-07,1.66E+02
3.22E+03,-9.93E-07,1.43E-08,9.93E-07,1.79E+02
3.22E+03,-4.58E-07,-2.97E-07,5.46E-07,-1.47E+02
3.23E+03,1.91E-07,1.91E-07,2.70E-07,4.51E+01
3.24E+03,-2.52E-07,4.26E-07,4.95E-07,1.21E+02
3.25E+03,-7.43E-07,-2.16E-07,7.74E-07,-1.64E+02
3.26E+03,-2.08E-07,-5.93E-07,6.28E-07,-1.09E+02
3.26E+03,2.42E-07,-9.94E-08,2.62E-07,-2.24E+01
3.27E+03,-1.92E-07,2.02E-10,1.92E-07,1.80E+02
3.28E+03,-4.62E-07,-4.86E-07,6.70E-07,-1.34E+02
3.29E+03,-1.69E-07,-3.60E-07,3.98E-07,-1.15E+02
3.30E+03,-2.13E-07,-5.00E-08,2.19E-07,-1.67E+02
3.30E+03,-3.84E-08,-5.30E-07,5.32E-07,-9.41E+01
3.31E+03,7.89E-07,-2.95E-07,8.43E-07,-2.05E+01
3.32E+03,4.30E-07,1.05E-06,1.13E-06,6.77E+01
3.33E+03,-8.17E-07,7.49E-07,1.11E-06,1.37E+02
3.34E+03,1.36E-07,-1.07E-06,1.08E-06,-8.28E+01
3.34E+03,2.24E-06,-3.85E-07,2.28E-06,-9.73E+00
3.35E+03,1.01E-06,1.73E-06,2.01E-06,5.97E+01
3.36E+03,-1.61E-06,3.84E-07,1.65E-06,1.67E+02
3.37E+03,-5.52E-07,-2.00E-06,2.07E-06,-1.05E+02
3.38E+03,1.52E-06,-4.21E-07,1.57E-06,-1.55E+01
3.38E+03,6.42E-08,1.74E-06,1.74E-06,8.79E+01
3.39E+03,-1.44E-06,1.91E-07,1.45E-06,1.72E+02
3.40E+03,2.68E-07,-1.13E-06,1.16E-06,-7.67E+01
3.41E+03,1.13E-06,4.29E-07,1.21E-06,2.07E+01
3.42E+03,-4.99E-07,1.02E-06,1.14E-06,1.16E+02
3.42E+03,-7.62E-07,-3.29E-07,8.30E-07,-1.57E+02
3.43E+03,5.02E-07,-1.81E-07,5.33E-07,-1.99E+01
3.44E+03,1.04E-07,1.11E-06,1.11E-06,8.46E+01
3.45E+03,-1.11E-06,1.05E-06,1.53E-06,1.37E+02
3.46E+03,-1.32E-06,1.50E-07,1.33E-06,1.74E+02
3.46E+03,-6.83E-07,-7.61E-07,1.02E-06,-1.32E+02
3.47E+03,3.26E-07,-9.50E-07,1.00E-06,-7.11E+01
3.48E+03,3.18E-07,5.40E-07,6.26E-07,5.95E+01
3.49E+03,-1.83E-06,1.28E-06,2.23E-06,1.45E+02
3.50E+03,-2.60E-06,-1.31E-06,2.91E-06,-1.53E+02
3.50E+03,7.26E-07,-2.73E-06,2.83E-06,-7.51E+01
3.51E+03,3.13E-06,4.75E-07,3.16E-06,8.63E+00
3.52E+03,5.50E-07,3.59E-06,3.64E-06,8.13E+01
3.53E+03,-3.34E-06,1.88E-06,3.84E-06,1.51E+02
3.54E+03,-3.09E-06,-2.68E-06,4.09E-06,-1.39E+02
3.54E+03,1.55E-06,-4.60E-06,4.85E-06,-7.13E+01
3.55E+03,5.83E-06,-3.17E-07,5.84E-06,-3.11E+00
3.56E+03,1.63E-06,6.66E-06,6.86E-06,7.62E+01
3.57E+03,-8.85E-06,3.39E-06,9.48E-06,1.59E+02
3.58E+03,-9.88E-06,-7.96E-06,1.27E-05,-1.41E+02
3.58E+03,-3.19E-06,-1.29E-05,1.32E-05,-1.04E+02
3.59E+03,2.48E-06,-1.11E-05,1.13E-05,-7.74E+01
3.60E+03,4.63E-06,-4.99E-06,6.81E-06,-4.71E+01
3.61E+03,2.80E-06,-9.39E-08,2.80E-06,-1.92E+00
3.62E+03,1.33E-06,2.64E-06,2.96E-06,6.32E+01
3.62E+03,-2.32E-06,3.92E-06,4.56E-06,1.21E+02
3.63E+03,-4.83E-06,1.71E-07,4.83E-06,1.78E+02
3.64E+03,-1.28E-06,-2.72E-06,3.01E-06,-1.15E+02
3.65E+03,2.09E-06,-2.82E-07,2.11E-06,-7.68E+00
3.66E+03,6.73E-07,2.26E-06,2.36E-06,7.34E+01
3.66E+03,-1.22E-06,1.35E-06,1.82E-06,1.32E+02
3.67E+03,-1.17E-06,9.71E-08,1.18E-06,1.75E+02
3.68E+03,-8.84E-07,-7.39E-07,1.15E-06,-1.40E+02
3.69E+03,4.01E-07,-1.47E-06,1.52E-06,-7.48E+01
3.70E+03,2.27E-06,-2.62E-07,2.29E-06,-6.59E+00
3.70E+03,1.43E-06,1.97E-06,2.44E-06,5.39E+01
3.71E+03,-1.13E-06,1.38E-06,1.79E-06,1.29E+02
3.72E+03,-1.08E-06,-4.85E-07,1.19E-06,-1.56E+02
3.73E+03,1.23E-07,-2.98E-07,3.22E-07,-6.75E+01
3.74E+03,9.98E-08,2.58E-07,2.77E-07,6.89E+01
3.74E+03,1.82E-08,1.77E-07,1.78E-07,8.42E+01
3.75E+03,-8.48E-09,3.99E-07,3.99E-07,9.12E+01
3.76E+03,-3.88E-07,3.20E-08,3.90E-07,1.75E+02
3.77E+03,3.01E-07,-9.32E-07,9.80E-07,-7.21E+01
3.78E+03,1.26E-06,-4.22E-07,1.33E-06,-1.85E+01
3.78E+03,1.81E-07,4.60E-07,4.94E-07,6.86E+01
3.79E+03,-9.73E-07,-4.92E-07,1.09E-06,-1.53E+02
3.80E+03,9.92E-08,-1.16E-06,1.17E-06,-8.51E+01
3.81E+03,8.26E-07,3.02E-07,8.80E-07,2.01E+01
3.82E+03,-4.18E-07,1.17E-06,1.24E-06,1.10E+02
3.82E+03,-1.10E-06,2.45E-07,1.12E-06,1.67E+02
3.83E+03,-5.75E-07,-2.11E-07,6.13E-07,-1.60E+02
3.84E+03,-4.27E-07,1.37E-08,4.27E-07,1.78E+02
3.85E+03,-4.69E-07,-2.49E-07,5.31E-07,-1.52E+02
3.86E+03,-1.46E-07,-4.27E-07,4.51E-07,-1.09E+02
3.86E+03,-1.93E-07,-1.51E-07,2.45E-07,-1.42E+02
3.87E+03,-4.27E-07,-1.16E-07,4.42E-07,-1.65E+02
3.88E+03,-2.76E-07,5.76E-08,2.82E-07,1.68E+02
3.89E+03,-2.32E-07,4.54E-07,5.09E-07,1.17E+02
3.90E+03,-2.79E-07,3.90E-07,4.79E-07,1.26E+02
3.90E+03,-4.80E-08,2.57E-07,2.61E-07,1.01E+02
3.91E+03,2.02E-08,5.06E-07,5.06E-07,8.77E+01
3.92E+03,-2.68E-07,3.52E-07,4.42E-07,1.27E+02
3.93E+03,-1.17E-07,-2.02E-07,2.33E-07,-1.20E+02
3.94E+03,3.71E-07,-1.42E-07,3.98E-07,-2.10E+01
3.94E+03,3.81E-07,2.11E-07,4.35E-07,2.90E+01
3.95E+03,1.36E-07,8.35E-10,1.36E-07,3.52E-01
3.96E+03,9.77E-08,-2.63E-07,2.81E-07,-6.97E+01
3.97E+03,6.70E-08,-5.09E-08,8.41E-08,-3.72E+01
3.98E+03,1.19E-07,1.58E-07,1.98E-07,5.29E+01
3.98E+03,4.43E-07,2.38E-07,5.03E-07,2.83E+01
3.99E+03,4.85E-07,2.78E-07,5.59E-07,2.98E+01
4.00E+03,1.05E-07,8.06E-08,1.32E-07,3.75E+01
4.01E+03,4.34E-08,-1.26E-07,1.33E-07,-7.10E+01
4.02E+03,2.31E-07,4.10E-09,2.31E-07,1.01E+00
4.02E+03,6.03E-08,1.89E-07,1.98E-07,7.23E+01
4.03E+03,-1.13E-07,1.39E-07,1.79E-07,1.29E+02
4.04E+03,-4.09E-08,1.00E-07,1.08E-07,1.12E+02
4.05E+03,-1.14E-07,1.68E-07,2.03E-07,1.24E+02
4.06E+03,-2.93E-07,2.25E-07,3.69E-07,1.42E+02
4.06E+03,-3.07E-07,4.27E-07,5.25E-07,1.26E+02
4.07E+03,-2.23E-07,7.97E-07,8.28E-07,1.06E+02
4.08E+03,-1.26E-07,7.64E-07,7.75E-07,9.93E+01
4.09E+03,2.90E-09,2.58E-07,2.58E-07,8.94E+01
4.10E+03,1.80E-08,-5.85E-08,6.12E-08,-7.28E+01
4.10E+03,-9.93E-08,-9.33E-08,1.36E-07,-1.37E+02
4.11E+03,-1.54E-07,-1.62E-07,2.23E-07,-1.34E+02
4.12E+03,-1.48E-07,-2.42E-07,2.83E-07,-1.21E+02
4.13E+03,-5.15E-08,-2.33E-07,2.39E-07,-1.02E+02
4.14E+03,1.25E-07,-6.37E-08,1.41E-07,-2.69E+01
4.14E+03,-8.99E-08,2.19E-07,2.37E-07,1.12E+02
4.15E+03,-6.09E-07,3.93E-07,7.25E-07,1.47E+02
4.16E+03,-7.08E-07,4.58E-07,8.43E-07,1.47E+02
4.17E+03,-2.95E-07,4.80E-07,5.64E-07,1.22E+02
4.18E+03,1.82E-07,3.62E-07,4.05E-07,6.33E+01
4.18E+03,4.26E-07,1.91E-07,4.67E-07,2.41E+01
4.19E+03,3.78E-07,1.41E-07,4.03E-07,2.05E+01
4.20E+03,1.77E-07,1.47E-07,2.30E-07,3.97E+01
4.21E+03,1.03E-07,1.49E-07,1.81E-07,5.53E+01
4.22E+03,1.16E-07,3.33E-07,3.52E-07,7.08E+01
4.22E+03,-1.26E-08,5.59E-07,5.59E-07,9.13E+01
4.23E+03,6.47E-08,4.95E-07,4.99E-07,8.26E+01
4.24E+03,4.34E-07,3.97E-07,5.89E-07,4.25E+01
4.25E+03,5.24E-07,3.94E-07,6.56E-07,3.69E+01
4.26E+03,3.64E-07,2.70E-07,4.53E-07,3.65E+01
